mut_index	VAR_0	TOT_0	cluster	state_tree	true_cluster_DCF0	point_estimate_DCF0	cmm_CCF0	Explained	LHs
7.63892253.C.T	8	27	1	(1,1,0)->(1,1,1);(1,1,1)->(2,1,1)	0.9738;(0.9723,0.9754)	0.8776	0.8776	0;1;2;3;4;5;6	718.8819737108579;-1.4718343660002517;718.8819737108579;0.7386071450069771;-1.1773907785957007;4.692585104642614;-1.432174718493897
7.63888572.C.A	9	52	3	(1,1,0)->(2,1,0);(2,1,0)->(2,1,1)	0.40723422982990287;(0.4067,0.4074)	0.512636538462	0.512636538462	0;1;2;3;4;5;6	802.9344142567456;1.157219842219991;802.9344142567456;-1.778329041279882;-1.5991315944967823;1.0444355665457046;1.4887145705449996
9.28966379.C.T	8	35	4	(1,1,0)->(1,1,1);(1,1,1)->(2,1,1)	0.6686761521292605;(0.6536,0.6834)	0.597005714286	0.597005714286	0;1;2;3;4;5;6	716.269676745703;-0.06793083401802136;716.269676745703;-1.113441381333768;-1.6725883189939736;1.930603496799229;0.15500699172159216
9.28966298.T.G	15	15	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.870633333333	0;1;2;3;4;5;6	1378.7784670741876;4.713190912190916;1378.7784670741876;25.10408150254865;7.918928732750544;35.19557208483012;4.467376054080461
9.28628609.G.C	7	62	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.294891935484	0.294891935484	0;1;2;3;4;5;6	620.5671164485444;8.409430309491679;620.5671164485444;-1.824986455959241;1.6461492968379048;-1.87838673174425;9.110373404280441
9.28455158.A.G	62	62	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.870633333333	0;1;2;3;4;5;6	5706.267895898842;26.798087762588683;5706.267895898842;111.0804355360673;40.048470754235154;152.79192994283073;25.78205301573213
9.28455136.C.A	13	64	4	(1,1,0)->(1,1,1);(1,1,1)->(2,1,1)	0.6686761521292605;(0.6536,0.6834)	0.5305421875	0.5305421875	0;1;2;3;4;5;6	1162.9634180419878;2.2389095819632985;1162.9634180419878;-1.5764471175177377;-1.5856896106369192;2.7531315703383044;2.716062960520034
9.28389115.A.G	7	12	1	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	0.9738;(0.9723,0.9754)	0.911708333333	0.761804166667	0;1;2;3;4;5;6	635.4843152890569;-1.0750705882931193;635.4843152890569;4.617112055224814;-0.8806154153167096;8.893495913545587;-1.0604708911160277
9.28933147.T.C	44	44	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.870633333333	0;1;2;3;4;5;6	4048.7431011797503;18.151624437893062;4048.7431011797503;77.9649035029424;27.55512204486797;107.56660921096805;17.430567520769053
9.28894202.A.G	14	73	3	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.40723422982990287;(0.4067,0.4074)	0.500912328767	0.500912328767	0;1;2;3;4;5;6	1251.599788024667;3.4908302436654637;1251.599788024667;-1.8290201202552865;-1.3243535703818168;2.480559144962598;4.070421696650264
9.28632148.G.A	7	92	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.198731521739	0.198731521739	0;1;2;3;4;5;6	617.2977015532304;19.136242180587175;617.2977015532304;-0.009341153676150071;7.248621043662659;-2.6606119099246293;20.320888061606937
9.28628630.G.C	9	68	3	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.40723422982990287;(0.4067,0.4074)	0.345692647059	0.345692647059	0;1;2;3;4;5;6	800.0757414956598;7.550666008089365;800.0757414956598;-2.1282714587160143;0.8559518022497627;-1.1825223875919555;8.26300413724185
7.147045376.C.A	8	67	3	(1,1,0)->(2,1,0);(2,1,0)->(2,1,1)	0.40723422982990287;(0.4067,0.4074)	0.353659701493	0.353659701493	0;1;2;3;4;5;6	710.009219703159;5.601473447229846;710.009219703159;-2.2177647335696378;0.18474853050141604;-1.2704190916486908;6.171773788156518
7.147137967.G.T	10	72	3	(1,1,0)->(2,1,0);(2,1,0)->(2,1,1)	0.40723422982990287;(0.4067,0.4074)	0.411375	0.411375	0;1;2;3;4;5;6	889.7357824406012;4.541943960791734;889.7357824406012;-2.2858853557394028;-0.5513064370297442;-0.21850506000952663;5.098943683257858
7.146874898.T.C	8	64	3	(1,1,0)->(2,1,0);(2,1,0)->(2,1,1)	0.40723422982990287;(0.4067,0.4074)	0.3702375	0.3702375	0;1;2;3;4;5;6	710.4420430474659;4.838342154966991;710.4420430474659;-2.2286700489469915;-0.15004512395146818;-1.0558269831974414;5.368844443887138
7.146922781.G.A	70	70	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.9873	0;1;2;3;4;5;6	6442.975580506287;25.512655652339635;6442.975580506287;134.63115983092754;99.91736587563513;181.72478254824105;24.571549523069812
7.147005741.G.C	4	43	5	(1,1,0)->(2,1,0);(2,1,0)->(2,1,1)	0.2078096433256718;(0.2015,0.2141)	0.275525581395	0.275525581395	0;1;2;3;4;5;6	352.9061578206818;4.489474375187848;352.9061578206818;-1.8021936420159914;0.42470939709204636;-2.042595996512757;4.900651710338506
7.147005786.C.G	35	35	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.9873	0;1;2;3;4;5;6	3220.035611253208;11.304148826234366;3220.035611253208;65.86340091552832;48.506503937882115;89.41021227418507;10.833595761599454
7.146251637.C.A	5	44	3	(1,1,0)->(2,1,0);(2,1,0)->(2,1,1)	0.40723422982990287;(0.4067,0.4074)	0.336579545455	0.336579545455	0;1;2;3;4;5;6	442.81233696310744;3.40463008738854;442.81233696310744;-2.0152205092383717;-0.2842288123487968;-1.582856824916373;3.7892580873056616
7.146542878.C.A	10	45	4	(1,1,0)->(2,1,0);(2,1,0)->(2,1,1)	0.6686761521292605;(0.6536,0.6834)	0.6582	0.6582	0;1;2;3;4;5;6	895.3220503387646;-0.635379870171775;895.3220503387646;-0.6931753947333803;-1.8735915277034927;3.40368171545391;-0.4365626157643696
7.146751637.T.C	5	74	5	(1,1,0)->(2,1,0);(2,1,0)->(2,1,1)	0.2078096433256718;(0.2015,0.2141)	0.200128378378	0.200128378378	0;1;2;3;4;5;6	439.6046564555956;12.156495945573376;439.6046564555956;-0.7856144199085726;4.184260667736304;-2.6082249738725913;12.939104465555737
7.146874851.A.T	45	46	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.965836956522	0;1;2;3;4;5;6	4136.9743783910835;12.52246642260911;4136.9743783910835;81.75801751015173;59.54996989001275;111.95732344905326;11.94333228474709
1.16387030.C.T	6	18	4	(1,1,0)->(1,1,1);(1,1,1)->(2,1,1)	0.6686761521292605;(0.6536,0.6834)	0.811833333333	0.811833333333	0;1;2;3;4;5;6	539.8470038390434;-1.1465868343233225;539.8470038390434;0.153345861827745;-1.166150642317593;3.0645316139682457;-1.0888397897149993
1.16387006.C.G	4	20	3	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.40723422982990287;(0.4067,0.4074)	0.4871	0.4871	0;1;2;3;4;5;6	356.883389916999;0.30541159356530123;356.883389916999;-1.4486144938743202;-1.224297797194252;-0.25809764629537923;0.48860499397721036
1.16363243.A.G	9	16	1	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	0.9738;(0.9723,0.9754)	0.93446875	1.36996875	0;1;2;3;4;5;6	816.7525488688664;-1.2045281823766878;816.7525488688664;5.199381488879311;-0.830763610305393;10.597786391131137;-1.1892704059694754
1.16361919.G.A	3	38	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.192276315789	0.192276315789	0;1;2;3;4;5;6	263.6063859715572;7.915596673062938;263.6063859715572;-0.9342855615285632;2.407897430215243;-2.1984346806575275;8.468990914056823
1.16363464.T.C	5	91	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.133818681319	0.133818681319	0;1;2;3;4;5;6	438.34017128483015;26.31412591572706;438.34017128483015;2.501248256219803;11.889487647479797;-2.2003633285530064;27.736854474294432
1.16363461.A.G	5	93	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.130940860215	0.130940860215	0;1;2;3;4;5;6	438.20752194253964;27.2025804381393;438.20752194253964;2.734540807413616;12.398775456867853;-2.1546391908212073;28.66148283937492
1.16364090.G.C	36	75	4	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	0.6686761521292605;(0.6536,0.6834)	0.73354	1.16904	0;1;2;3;4;5;6	3261.8528531642028;-0.956904643592317;3261.8528531642028;17.652864058417954;-1.8366359722514645;38.214857393384186;-1.2072907799686234
1.16363940.G.C	26	57	4	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	0.6686761521292605;(0.6536,0.6834)	0.675429824561	1.11092982456	0;1;2;3;4;5;6	2353.586130610581;-1.4410195533866812;2353.586130610581;11.07122282772798;-1.8116731607376266;25.655829428354636;-1.5706077081006526
1.16386928.G.T	9	10	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	1.095975	0;1;2;3;4;5;6	824.230153112064;1.0873395723885046;824.230153112064;11.579160051624047;3.022971116401499;17.540270194261918;0.9474213916413525
1.16364255.T.C	28	56	4	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	0.6686761521292605;(0.6536,0.6834)	0.78225	1.21775	0;1;2;3;4;5;6	2538.2789420206973;-1.0986080025740677;2538.2789420206973;14.585351618243585;-1.5554987862917926;30.796842916700783;-0.8902161500359895
3.195052329.A.C	18	45	1	(1,1,0)->(1,1,1);(1,1,1)->(2,1,1)	0.9738;(0.9723,0.9754)	0.98112	0.98112	0;1;2;3;4;5;6	1625.8616757551358;-1.7132298159535964;1625.8616757551358;5.223161605651047;-1.41454865922179;14.821226319484115;-1.7085345688354359
3.195051895.A.G	34	59	1	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	0.9738;(0.9723,0.9754)	0.960677966102	1.4134779661	0;1;2;3;4;5;6	3089.471985813409;-1.8337193169484536;3089.471985813409;23.54545227152029;-0.1594602340381357;44.09382723496506;-1.8059099209103664
3.194396591.A.C	5	69	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.177739130435	0.177739130435	0;1;2;3;4;5;6	440.03366625845547;16.510844387523033;440.03366625845547;0.11420491552162915;6.386453533119795;-2.475681002751248;17.521998822636693
3.194017411.T.C	14	20	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.85848	0;1;2;3;4;5;6	1275.8379855729377;-0.7943537502394467;1275.8379855729377;12.618026191559078;1.0128538030348402;21.47858984948741;-0.8939601251283591
3.193674979.C.T	18	42	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,1)	1.0;(0.9997,0.9999)	1.0	1.0512	0;1;2;3;4;5;6	1627.5083600464195;-1.5841376608901783;1627.5083600464195;6.325178443912243;-1.6010335907963267;16.202323600512507;-1.6330627783633318
3.193674761.C.T	15	37	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,1)	1.0;(0.9997,0.9999)	0.994378378378	0.994378378378	0;1;2;3;4;5;6	1354.9533099175896;-1.612043414354961;1354.9533099175896;4.3304368841818714;-1.4157386315181135;12.375337552837298;-1.6170674358550485
3.193499512.A.G	19	19	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.8176	0;1;2;3;4;5;6	1746.9689384019207;7.301056253644633;1746.9689384019207;31.120610440417664;11.873371680723475;43.903165177974195;6.955280231585903
3.193196593.C.G	7	11	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.780436363636	0;1;2;3;4;5;6	636.4398267340844;-1.0049753578945015;636.4398267340844;5.0114028610692305;-0.36168274324764216;9.348657875777667;-1.0289158858132303
3.195052494.C.G	49	49	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.8176	0;1;2;3;4;5;6	4509.154759262902;22.642852669978833;4509.154759262902;84.0722292569198;34.43461350823479;117.03776515903928;21.751114507827367
3.195052365.T.G	16	38	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,1)	1.0;(0.9997,0.9999)	1.0	1.03275789474	0;1;2;3;4;5;6	1446.1657407134617;-1.579236773875877;1446.1657407134617;5.235060945237883;-1.5241271367617983;13.95272765271207;-1.6108101306095008
3.131713429.C.T	51	51	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.8176	0;1;2;3;4;5;6	4693.322345989272;23.687504433372776;4693.322345989272;87.62420251365828;35.96056163237387;121.93527049341529;22.759368795215128
3.131713566.G.T	26	46	1	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	0.9738;(0.9723,0.9754)	0.933565217391	1.38636521739	0;1;2;3;4;5;6	2361.483092298237;-1.6877108282632705;2361.483092298237;17.111233546505012;-0.6370813783821063;32.74261427067832;-1.643624825829086
9.21195276.T.C	6	104	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.150686538462	0.150686538462	0;1;2;3;4;5;6	526.8262099268043;25.846558611624772;526.8262099268043;1.9676523436324729;11.362484009157804;-2.4821283263022735;27.267358368578172
2.120448205.G.A	7	11	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.768059090909	0;1;2;3;4;5;6	636.4398267340844;-0.9873031803527681;636.4398267340844;0.9272742393147446;-0.29041861320249396;9.242723404917141;-1.01478154479567
3.131713172.C.T	19	19	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.8176	0;1;2;3;4;5;6	1746.9689384019207;7.301056253644633;1746.9689384019207;31.120610440417664;11.873371680723475;43.903165177974195;6.955280231585903
2.120448083.A.T	3	40	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.1810425	0.1810425	0;1;2;3;4;5;6	263.39837130183923;8.923191462133492;263.39837130183923;-0.7365491022083308;2.940609655847176;-2.2239031432079166;9.522889800637937
3.131708185.G.T	39	62	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.77144516129	0;1;2;3;4;5;6	3549.261864499838;-1.5939131771800632;3549.261864499838;31.433185648521068;1.8042091315736641;55.53144443457112;-1.7088227902088917
3.197117127.T.C	136	217	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.768619354839	0;1;2;3;4;5;6	12380.195930492795;-1.5828738512179825;12380.195930492795;113.04023578943207;10.060074558238654;197.00124511407;-1.9630267980544716
9.21980944.C.T	17	17	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.870633333333	0;1;2;3;4;5;6	1562.867491478055;5.593511827791959;1562.867491478055;28.703187830197386;9.226681357759539;40.140210490116395;5.314921655266774
2.120149276.C.T	4	8	4	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	0.6686761521292605;(0.6536,0.6834)	0.79305	1.20695	0;1;2;3;4;5;6	361.9678950596617;-0.8098116846951005;361.9678950596617;-0.46938342830383917;-0.8578396383068574;3.7238734155026414;-0.7811776194755105
3.131286397.A.G	6	57	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.258189473684	0.258189473684	0;1;2;3;4;5;6	531.1529746975347;9.874296080921624;531.1529746975347;-1.4345190099791267;2.564107808010327;-2.142290304108748;10.626546267572728
2.121865353.T.A	7	10	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.844865	0;1;2;3;4;5;6	637.5384390227524;-0.7440719289555178;637.5384390227524;1.6101148143729302;0.2131238001850404;10.25131387628901;-0.7974129529241472
3.131708053.T.C	33	59	1	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	0.9738;(0.9723,0.9754)	0.919105084746	1.37190508475	0;1;2;3;4;5;6	2997.1003181070523;-1.7725519722070615;2997.1003181070523;21.663147117653885;-0.5992522316596052;41.445729228024156;-1.7006811786401599
2.121628387.G.C	6	66	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.219445454545	0.219445454545	0;1;2;3;4;5;6	530.0909128402984;13.909117184431462;530.0909128402984;-0.7656963884409258;4.634337371292997;-2.4139414919432767;14.851463893362773
11.31523406.C.T	20	49	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,1)	1.0;(0.9997,0.9999)	1.0	1.03591836735	0;1;2;3;4;5;6	1807.1829628713851;-1.6905435482390487;1807.1829628713851;6.781704170621666;-1.3041022128837696;17.64243755491504;-1.7316726899540456
2.121446305.A.C	9	12	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.9052125	0;1;2;3;4;5;6	820.9720565740425;-0.4100698243854799;820.9720565740425;2.9935496944604685;1.0437342519297657;14.382876970907162;-0.50081913479577
7.49764835.A.C	7	63	3	(1,1,0)->(2,1,0);(2,1,0)->(2,1,1)	0.40723422982990287;(0.4067,0.4074)	0.3291	0.3291	0;1;2;3;4;5;6	620.4335850559198;5.820907593645881;620.4335850559198;-2.1179220308450297;0.4566142363689565;-1.617845003914244;6.377959217799564
2.121446283.A.G	9	9	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	1.20695	0;1;2;3;4;5;6	826.6280483848624;2.679778874621793;826.6280483848624;7.402226364450549;4.914516436907888;19.768803329838295;2.5114415856343197
11.31350799.G.A	4	59	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.17206779661	0.17206779661	0;1;2;3;4;5;6	351.2909407341513;13.329130869082146;351.2909407341513;-0.18448007265430633;5.031630023578799;-2.4141851092587547;14.1519737337537
11.31523130.A.G	21	43	4	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	0.6686761521292605;(0.6536,0.6834)	0.701488372093	1.23948837209	0;1;2;3;4;5;6	1902.7055272159535;-0.7014702256542975;1902.7055272159535;10.806343356843513;-1.6578526512373735;22.966122495285774;-0.8873901833162847
11.32830931.A.C	6	79	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.192759493671	0.192759493671	0;1;2;3;4;5;6	528.79539824787;17.254665798251512;528.79539824787;-0.0792348702000858;6.501336148358369;-2.5738413828730238;18.328459514290575
11.80569023.T.A	37	37	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.846	0;1;2;3;4;5;6	3404.1883514714614;15.531202730675108;3404.1883514714614;64.06290946907204;23.872164377371654;88.95525290536634;14.895473273997133
11.31862725.C.A	54	54	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.846	0;1;2;3;4;5;6	4969.576467681906;23.968737087245383;4969.576467681906;94.79879557031117;36.14203246350521;131.12816166652445;23.040915718039688
11.32652597.T.C	58	91	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.808813186813	0;1;2;3;4;5;6	5280.322886477536;-1.7442050722135818;5280.322886477536;50.22210493040297;2.740547541793539;86.29007366676362;-1.8872861859003294
7.152241019.C.A	7	43	3	(1,1,0)->(2,1,0);(2,1,0)->(2,1,1)	0.40723422982990287;(0.4067,0.4074)	0.482169767442	0.482169767442	0;1;2;3;4;5;6	623.6514107921846;1.0657024194461293;623.6514107921846;-1.8582873591414213;-1.4430066857643027;0.14510582664670935;1.3574336968896574
11.80160793.T.A	6	44	3	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.40723422982990287;(0.4067,0.4074)	0.346090909091	0.346090909091	0;1;2;3;4;5;6	533.0439385059676;4.563141022610331;533.0439385059676;-1.9520174305404367;0.04689101931359119;-1.3152253665627782;5.045727335082137
11.33544346.G.A	5	46	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.275869565217	0.275869565217	0;1;2;3;4;5;6	442.53599948572656;6.652685591925742;442.53599948572656;-1.6616110431134494;1.225922683419423;-1.9659906102388973;7.212496159936851
11.33544383.T.C	38	38	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.846	0;1;2;3;4;5;6	3496.26577970482;16.023302619688103;3496.26577970482;65.86667710777142;24.58969566224131;91.43178658288448;15.370391285802615
11.55482281.G.T	7	67	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.265164179104	0.265164179104	0;1;2;3;4;5;6	619.9207190039396;10.942484383696119;619.9207190039396;-1.5012088984953849;2.8816903951829644;-2.159958472450768;11.770137443176665
11.55485029.C.T	13	58	4	(1,1,0)->(1,1,1);(1,1,1)->(2,1,1)	0.6686761521292605;(0.6536,0.6834)	0.568862068966	0.568862068966	0;1;2;3;4;5;6	1164.486516987705;1.3753864044426578;1164.486516987705;-1.2007985477297822;-1.7569369796641077;3.5190760726491135;1.7903688509931612
7.51630143.A.T	8	45	3	(1,1,0)->(2,1,0);(2,1,0)->(2,1,1)	0.40723422982990287;(0.4067,0.4074)	0.52656	0.52656	0;1;2;3;4;5;6	713.809870080011;0.6317898225709122;713.809870080011;-1.6711245277348787;-1.6437924168843807;0.9298688889291462;0.9102377821164112
11.79713431.T.C	10	25	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,1)	1.0;(0.9997,0.9999)	1.0	1.0152	0;1;2;3;4;5;6	902.7760193935327;-1.4187328872259428;902.7760193935327;2.662837511985831;-1.144911874713621;8.048469938751797;-1.4308516380324825
11.55776248.C.A	14	60	4	(1,1,0)->(1,1,1);(1,1,1)->(2,1,1)	0.6686761521292605;(0.6536,0.6834)	0.5922	0.5922	0;1;2;3;4;5;6	1254.8524010071758;1.0797942667841554;1254.8524010071758;-0.9336801852485266;-1.8548253145811842;4.36949194318769;1.4851190182030436
11.55776319.T.C	36	36	6	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	1.0;(0.9997,0.9999)	1.0	0.846	0;1;2;3;4;5;6	3312.1116159987814;15.039795602341012;3312.1116159987814;62.25983459105153;23.155325853180894;86.47941198852706;14.42124802287055
2.79364397.G.A	19	49	1	(1,1,0)->(1,1,1);(1,1,1)->(2,1,1)	0.9738;(0.9723,0.9754)	0.936002040816	0.936002040816	0;1;2;3;4;5;6	1715.4850242597313;-1.735644571909397;1715.4850242597313;-1.518559708395948;-1.39144692753311;14.81616144023431;-1.6892605811803278
2.79364395.G.A	5	48	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.251447916667	0.251447916667	0;1;2;3;4;5;6	442.271847910685;8.50463354256808;442.271847910685;-1.4020439902532829;2.1208422646697684;-2.112350087256832;9.161397482638709
2.79364374.C.G	15	41	3	(1,1,0)->(1,1,1);(1,1,1)->(2,1,2)	0.40723422982990287;(0.4067,0.4074)	0.469234146341	0.883134146341	0;1;2;3;4;5;6	1352.9401475415252;-1.564203103890243;1352.9401475415252;-1.6261579386364922;-1.1105889477706334;10.515306366187282;-1.4850646202491973
2.79309283.C.A	3	51	5	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.2078096433256718;(0.2015,0.2141)	0.141994117647	0.141994117647	0;1;2;3;4;5;6	262.415057973669;13.621720686892507;262.415057973669;0.3125984715561234;5.52526589533649;-2.2169764811195325;14.423386857457915
2.79661228.T.G	7	43	3	(1,1,0)->(1,1,1);(1,1,0)->(2,1,0)	0.40723422982990287;(0.4067,0.4074)	0.392960465116	0.392960465116	0;1;2;3;4;5;6	623.6514107921846;3.8772570603765395;623.6514107921846;-1.9634518533853402;-0.40953016108776197;-0.6649943835029504;4.352397345941302
