GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0896cb74-deee-46cd-ac66-19f50e4e9503	3	195737636	198169247	1170	0.1622
0896cb74-deee-46cd-ac66-19f50e4e9503	4	68929	10208339	5695	0.0112
0896cb74-deee-46cd-ac66-19f50e4e9503	4	10208489	10229625	33	0.6207
0896cb74-deee-46cd-ac66-19f50e4e9503	4	10229874	34777340	16963	0.003
0896cb74-deee-46cd-ac66-19f50e4e9503	4	34777353	34828250	44	0.4033
0896cb74-deee-46cd-ac66-19f50e4e9503	4	34828291	39701593	3308	0.0102
0896cb74-deee-46cd-ac66-19f50e4e9503	4	39702143	39702577	2	-1.7297
0896cb74-deee-46cd-ac66-19f50e4e9503	4	39702789	45003738	3313	0.0043
0896cb74-deee-46cd-ac66-19f50e4e9503	4	45003835	45004318	4	-3.1936
0896cb74-deee-46cd-ac66-19f50e4e9503	4	45008952	77248709	18132	0.0118
0896cb74-deee-46cd-ac66-19f50e4e9503	4	77249164	77318037	113	0.2156
0896cb74-deee-46cd-ac66-19f50e4e9503	4	77318828	91152891	8579	0.009
0896cb74-deee-46cd-ac66-19f50e4e9503	4	91152897	91159466	6	-1.0509
0896cb74-deee-46cd-ac66-19f50e4e9503	4	91160414	121360818	18062	0.0113
0896cb74-deee-46cd-ac66-19f50e4e9503	4	121361313	121370367	30	-0.6334
0896cb74-deee-46cd-ac66-19f50e4e9503	4	121371000	137021755	8759	0.0129
0896cb74-deee-46cd-ac66-19f50e4e9503	4	137021888	137021901	3	-2.0166
0896cb74-deee-46cd-ac66-19f50e4e9503	4	137025215	171455823	21488	0.0114
0896cb74-deee-46cd-ac66-19f50e4e9503	4	171456106	171456137	3	1.7792
0896cb74-deee-46cd-ac66-19f50e4e9503	4	171456293	190106768	12473	0.0103
0896cb74-deee-46cd-ac66-19f50e4e9503	5	15532	10808462	8754	0.0265
0896cb74-deee-46cd-ac66-19f50e4e9503	5	10808680	10952286	149	0.1922
0896cb74-deee-46cd-ac66-19f50e4e9503	5	10952680	12800777	1275	0.0042
0896cb74-deee-46cd-ac66-19f50e4e9503	5	12815668	12849089	15	-0.9783
0896cb74-deee-46cd-ac66-19f50e4e9503	5	12857021	46196012	20429	0.0267
0896cb74-deee-46cd-ac66-19f50e4e9503	5	46199332	46251204	15	-0.0755
0896cb74-deee-46cd-ac66-19f50e4e9503	5	46270906	46313245	10	1.145
0896cb74-deee-46cd-ac66-19f50e4e9503	5	46313400	50279343	50	0.1107
0896cb74-deee-46cd-ac66-19f50e4e9503	5	50287719	57285362	4485	-0.1529
0896cb74-deee-46cd-ac66-19f50e4e9503	5	57290400	57659568	270	0.4033
0896cb74-deee-46cd-ac66-19f50e4e9503	5	57662069	58033802	267	-0.1925
0896cb74-deee-46cd-ac66-19f50e4e9503	5	58033929	58036233	12	-1.1356
0896cb74-deee-46cd-ac66-19f50e4e9503	5	58036248	123875931	39970	-0.1533
0896cb74-deee-46cd-ac66-19f50e4e9503	5	123889735	141267991	10215	0.016
0896cb74-deee-46cd-ac66-19f50e4e9503	5	141268049	141273689	4	-1.3703
0896cb74-deee-46cd-ac66-19f50e4e9503	5	141278798	152135825	7351	0.0047
0896cb74-deee-46cd-ac66-19f50e4e9503	5	152135909	152138790	13	-0.7219
0896cb74-deee-46cd-ac66-19f50e4e9503	5	152140710	176033084	16726	0.0081
0896cb74-deee-46cd-ac66-19f50e4e9503	5	176038686	176042504	2	-2.685
0896cb74-deee-46cd-ac66-19f50e4e9503	5	176043321	176735426	312	-0.0002
0896cb74-deee-46cd-ac66-19f50e4e9503	5	176735568	176755420	12	0.4471
0896cb74-deee-46cd-ac66-19f50e4e9503	5	176758398	176806791	22	-0.0025
0896cb74-deee-46cd-ac66-19f50e4e9503	5	176808074	176825706	14	0.347
0896cb74-deee-46cd-ac66-19f50e4e9503	5	176826434	177771448	364	-0.0147
0896cb74-deee-46cd-ac66-19f50e4e9503	5	177800550	177805604	3	1.9292
0896cb74-deee-46cd-ac66-19f50e4e9503	5	177827964	178680821	446	0.0048
0896cb74-deee-46cd-ac66-19f50e4e9503	5	178682974	178686162	3	-2.1311
0896cb74-deee-46cd-ac66-19f50e4e9503	5	178691854	181363319	1534	0.0117
0896cb74-deee-46cd-ac66-19f50e4e9503	6	149661	6804735	5552	0.0124
0896cb74-deee-46cd-ac66-19f50e4e9503	6	6804826	6805099	2	-2.0034
0896cb74-deee-46cd-ac66-19f50e4e9503	6	6805699	26342741	14442	0.0005
0896cb74-deee-46cd-ac66-19f50e4e9503	6	26344913	26348804	3	-1.4546
0896cb74-deee-46cd-ac66-19f50e4e9503	6	26352835	30094281	1761	-0.0098
0896cb74-deee-46cd-ac66-19f50e4e9503	6	30095591	30097542	4	-1.4936
0896cb74-deee-46cd-ac66-19f50e4e9503	6	30097639	31313046	543	-0.0023
0896cb74-deee-46cd-ac66-19f50e4e9503	6	31318499	31328674	11	-1.3403
0896cb74-deee-46cd-ac66-19f50e4e9503	6	31342147	32619680	545	0.0053
0896cb74-deee-46cd-ac66-19f50e4e9503	6	32625244	32634330	6	-1.0076
0896cb74-deee-46cd-ac66-19f50e4e9503	6	32634492	35836384	1789	0.0118
0896cb74-deee-46cd-ac66-19f50e4e9503	6	35836979	37036020	795	-0.1947
0896cb74-deee-46cd-ac66-19f50e4e9503	6	37043735	44277233	4731	0.0108
0896cb74-deee-46cd-ac66-19f50e4e9503	6	44277586	46440976	1440	-0.1577
0896cb74-deee-46cd-ac66-19f50e4e9503	6	46441452	46958100	364	0.0182
0896cb74-deee-46cd-ac66-19f50e4e9503	6	46960032	46960083	2	1.3832
0896cb74-deee-46cd-ac66-19f50e4e9503	6	46963821	54066353	4579	0.0096
0896cb74-deee-46cd-ac66-19f50e4e9503	6	54066432	54070550	7	-1.1218
0896cb74-deee-46cd-ac66-19f50e4e9503	6	54070617	64627049	4222	0.0188
0896cb74-deee-46cd-ac66-19f50e4e9503	6	64637651	64639099	2	-1.8698
0896cb74-deee-46cd-ac66-19f50e4e9503	6	64640883	66331020	1140	0.0257
0896cb74-deee-46cd-ac66-19f50e4e9503	6	66331558	66333299	6	0.9445
0896cb74-deee-46cd-ac66-19f50e4e9503	6	66333342	69499213	2168	0.0043
0896cb74-deee-46cd-ac66-19f50e4e9503	6	69505423	69510885	11	0.7336
0896cb74-deee-46cd-ac66-19f50e4e9503	6	69511135	73882142	2827	0.018
0896cb74-deee-46cd-ac66-19f50e4e9503	6	73882509	73891694	10	0.9572
0896cb74-deee-46cd-ac66-19f50e4e9503	6	73893839	78259348	2763	0.0295
0896cb74-deee-46cd-ac66-19f50e4e9503	6	78259388	78325468	112	-0.4722
0896cb74-deee-46cd-ac66-19f50e4e9503	6	78329517	93923908	9992	0.0161
0896cb74-deee-46cd-ac66-19f50e4e9503	6	93924277	94933610	674	0.0857
0896cb74-deee-46cd-ac66-19f50e4e9503	6	94933661	103286954	4797	-0.0017
0896cb74-deee-46cd-ac66-19f50e4e9503	6	103290101	103314186	46	-1.0689
0896cb74-deee-46cd-ac66-19f50e4e9503	6	103317795	125861617	13875	0.0117
0896cb74-deee-46cd-ac66-19f50e4e9503	6	125862546	125865630	3	-2.0314
0896cb74-deee-46cd-ac66-19f50e4e9503	6	125867747	133945130	5179	0.0019
0896cb74-deee-46cd-ac66-19f50e4e9503	6	133947933	133948494	2	-1.7867
0896cb74-deee-46cd-ac66-19f50e4e9503	6	133950934	169763095	24652	0.0106
0896cb74-deee-46cd-ac66-19f50e4e9503	6	169767293	170133775	142	0.1593
0896cb74-deee-46cd-ac66-19f50e4e9503	6	170133982	170741917	278	-0.0155
0896cb74-deee-46cd-ac66-19f50e4e9503	7	43355	4276624	2206	0.1805
0896cb74-deee-46cd-ac66-19f50e4e9503	7	4280525	6989154	1266	0.1105
0896cb74-deee-46cd-ac66-19f50e4e9503	7	6999855	8410097	1260	0.1761
0896cb74-deee-46cd-ac66-19f50e4e9503	7	8410275	8413314	4	-0.9747
0896cb74-deee-46cd-ac66-19f50e4e9503	7	8413683	12974700	3677	0.1624
0896cb74-deee-46cd-ac66-19f50e4e9503	7	12982484	12988660	4	-1.0039
0896cb74-deee-46cd-ac66-19f50e4e9503	7	12989332	15392007	1951	0.1478
0896cb74-deee-46cd-ac66-19f50e4e9503	7	15392045	15393664	2	-1.3277
0896cb74-deee-46cd-ac66-19f50e4e9503	7	15394440	38072615	16861	0.1626
0896cb74-deee-46cd-ac66-19f50e4e9503	7	38072658	54318812	11203	0.0118
0896cb74-deee-46cd-ac66-19f50e4e9503	7	54318816	54318824	5	2.0184
0896cb74-deee-46cd-ac66-19f50e4e9503	7	54325795	88548580	15885	0.0086
0896cb74-deee-46cd-ac66-19f50e4e9503	7	88548621	90110662	1054	0.0787
0896cb74-deee-46cd-ac66-19f50e4e9503	7	90113915	100727566	6165	0.0079
0896cb74-deee-46cd-ac66-19f50e4e9503	7	100731621	100731642	2	-2.5077
0896cb74-deee-46cd-ac66-19f50e4e9503	7	100735219	109787648	5305	0.0099
0896cb74-deee-46cd-ac66-19f50e4e9503	7	109787793	109813853	43	0.3605
0896cb74-deee-46cd-ac66-19f50e4e9503	7	109813925	111279303	989	0.0364
0896cb74-deee-46cd-ac66-19f50e4e9503	7	111279880	111595647	190	0.1616
0896cb74-deee-46cd-ac66-19f50e4e9503	7	111597742	126404920	8843	0.0068
0896cb74-deee-46cd-ac66-19f50e4e9503	7	126405428	126406824	15	-0.8324
0896cb74-deee-46cd-ac66-19f50e4e9503	7	126406825	134093899	4694	0.0034
0896cb74-deee-46cd-ac66-19f50e4e9503	7	134100424	134114444	37	0.4169
0896cb74-deee-46cd-ac66-19f50e4e9503	7	134121491	142069843	5186	0.0094
0896cb74-deee-46cd-ac66-19f50e4e9503	7	142069880	142092108	32	0.4471
0896cb74-deee-46cd-ac66-19f50e4e9503	7	142092307	159334314	10850	0.0138
0896cb74-deee-46cd-ac66-19f50e4e9503	8	81254	7312952	7714	-0.1449
0896cb74-deee-46cd-ac66-19f50e4e9503	8	7329110	7329124	2	2.3473
0896cb74-deee-46cd-ac66-19f50e4e9503	8	7336299	12176798	3289	-0.1705
0896cb74-deee-46cd-ac66-19f50e4e9503	8	12177488	12389977	30	0.5232
0896cb74-deee-46cd-ac66-19f50e4e9503	8	12418301	13720063	1021	-0.1972
0896cb74-deee-46cd-ac66-19f50e4e9503	8	13722552	13742870	36	0.1668
0896cb74-deee-46cd-ac66-19f50e4e9503	8	13742882	25114672	9337	-0.159
0896cb74-deee-46cd-ac66-19f50e4e9503	8	25116928	25126735	26	-1.9993
0896cb74-deee-46cd-ac66-19f50e4e9503	8	25133589	39389156	8994	-0.1607
0896cb74-deee-46cd-ac66-19f50e4e9503	8	39389592	39499356	44	-0.4434
0896cb74-deee-46cd-ac66-19f50e4e9503	8	39504170	43802560	2576	-0.1594
0896cb74-deee-46cd-ac66-19f50e4e9503	8	43807613	50119451	2016	0.1657
0896cb74-deee-46cd-ac66-19f50e4e9503	8	50119464	50120863	8	0.7885
0896cb74-deee-46cd-ac66-19f50e4e9503	8	50126018	51222522	657	0.1587
0896cb74-deee-46cd-ac66-19f50e4e9503	8	51223143	55835906	3092	0.014
0896cb74-deee-46cd-ac66-19f50e4e9503	8	55840052	71300130	9548	0.1442
0896cb74-deee-46cd-ac66-19f50e4e9503	8	71303076	71304364	8	-0.6098
0896cb74-deee-46cd-ac66-19f50e4e9503	8	71307628	114622438	25903	0.152
0896cb74-deee-46cd-ac66-19f50e4e9503	8	114622478	114626166	11	-0.9846
0896cb74-deee-46cd-ac66-19f50e4e9503	8	114626238	114629502	20	-0.3318
0896cb74-deee-46cd-ac66-19f50e4e9503	8	114638468	124083276	6402	0.1568
0896cb74-deee-46cd-ac66-19f50e4e9503	8	124090058	124094162	5	-1.3001
0896cb74-deee-46cd-ac66-19f50e4e9503	8	124099560	140181944	12418	0.1508
0896cb74-deee-46cd-ac66-19f50e4e9503	8	140185161	140185175	2	-1.1575
0896cb74-deee-46cd-ac66-19f50e4e9503	8	140192038	141564139	760	0.1884
0896cb74-deee-46cd-ac66-19f50e4e9503	8	141564862	141565045	2	-1.7322
0896cb74-deee-46cd-ac66-19f50e4e9503	8	141565500	145072769	1451	0.1901
0896cb74-deee-46cd-ac66-19f50e4e9503	9	46587	6695986	6357	-0.0054
0896cb74-deee-46cd-ac66-19f50e4e9503	9	6701145	6708357	6	-2.6053
0896cb74-deee-46cd-ac66-19f50e4e9503	9	6712314	11336017	4358	-0.0094
0896cb74-deee-46cd-ac66-19f50e4e9503	9	11336040	12113183	603	0.0734
0896cb74-deee-46cd-ac66-19f50e4e9503	9	12113467	29432265	13633	-0.0122
0896cb74-deee-46cd-ac66-19f50e4e9503	9	29432808	29919558	345	0.1352
0896cb74-deee-46cd-ac66-19f50e4e9503	9	29920842	39588611	5824	-0.0054
0896cb74-deee-46cd-ac66-19f50e4e9503	9	39747848	40099921	8	1.1969
0896cb74-deee-46cd-ac66-19f50e4e9503	9	40189830	42014203	98	-0.0084
0896cb74-deee-46cd-ac66-19f50e4e9503	9	42037471	42546668	35	-0.5932
0896cb74-deee-46cd-ac66-19f50e4e9503	9	42566207	138200944	48117	0.0102
0896cb74-deee-46cd-ac66-19f50e4e9503	10	45792	1400969	819	-0.1476
0896cb74-deee-46cd-ac66-19f50e4e9503	10	1400985	1400985	2	-1.9655
0896cb74-deee-46cd-ac66-19f50e4e9503	10	1401020	24086334	18329	-0.1687
0896cb74-deee-46cd-ac66-19f50e4e9503	10	24088745	24089125	11	-1.8384
0896cb74-deee-46cd-ac66-19f50e4e9503	10	24089979	25418088	892	-0.1663
0896cb74-deee-46cd-ac66-19f50e4e9503	10	25418197	25433515	9	0.0519
0896cb74-deee-46cd-ac66-19f50e4e9503	10	25436584	27015680	1143	0.5873
0896cb74-deee-46cd-ac66-19f50e4e9503	10	27018754	27928445	572	0.2951
0896cb74-deee-46cd-ac66-19f50e4e9503	10	27931040	30020885	1704	0.1543
0896cb74-deee-46cd-ac66-19f50e4e9503	10	30021975	32666177	1782	0.0053
0896cb74-deee-46cd-ac66-19f50e4e9503	10	32666315	32666367	2	1.1081
0896cb74-deee-46cd-ac66-19f50e4e9503	10	32669645	33613380	689	0.0235
0896cb74-deee-46cd-ac66-19f50e4e9503	10	33615097	33698895	47	0.1251
0896cb74-deee-46cd-ac66-19f50e4e9503	10	33704269	36738392	2015	0.3356
0896cb74-deee-46cd-ac66-19f50e4e9503	10	36739632	37433443	390	0.5053
0896cb74-deee-46cd-ac66-19f50e4e9503	10	37433544	37874414	282	0.3832
0896cb74-deee-46cd-ac66-19f50e4e9503	10	37879526	133654968	61847	0.0123
0896cb74-deee-46cd-ac66-19f50e4e9503	11	198510	5766862	3228	0.0062
0896cb74-deee-46cd-ac66-19f50e4e9503	11	5768371	5787146	28	-0.3802
0896cb74-deee-46cd-ac66-19f50e4e9503	11	5787818	48509615	29958	0.0116
0896cb74-deee-46cd-ac66-19f50e4e9503	11	48509653	48751124	102	0.2069
0896cb74-deee-46cd-ac66-19f50e4e9503	11	48751174	50284450	627	0.0185
0896cb74-deee-46cd-ac66-19f50e4e9503	11	50286977	55608785	489	0.1107
0896cb74-deee-46cd-ac66-19f50e4e9503	11	55608804	55685533	52	0.5056
0896cb74-deee-46cd-ac66-19f50e4e9503	11	55686100	55816599	95	0.187
0896cb74-deee-46cd-ac66-19f50e4e9503	11	55818495	65849487	5404	0.0116
0896cb74-deee-46cd-ac66-19f50e4e9503	11	65851648	71588129	2798	0.5321
0896cb74-deee-46cd-ac66-19f50e4e9503	11	71592950	76153933	2277	0.2943
0896cb74-deee-46cd-ac66-19f50e4e9503	11	76154153	76598654	245	0.4384
0896cb74-deee-46cd-ac66-19f50e4e9503	11	76606124	76616916	10	1.1582
0896cb74-deee-46cd-ac66-19f50e4e9503	11	76619919	80256469	2422	-0.1627
0896cb74-deee-46cd-ac66-19f50e4e9503	11	80256504	80256520	2	-2.8202
0896cb74-deee-46cd-ac66-19f50e4e9503	11	80256642	135074876	38958	-0.1532
0896cb74-deee-46cd-ac66-19f50e4e9503	12	51460	1146572	660	0.5154
0896cb74-deee-46cd-ac66-19f50e4e9503	12	1147275	1949079	475	0.1609
0896cb74-deee-46cd-ac66-19f50e4e9503	12	1949499	2122991	124	-0.1752
0896cb74-deee-46cd-ac66-19f50e4e9503	12	2124763	2126010	2	-2.0346
0896cb74-deee-46cd-ac66-19f50e4e9503	12	2126462	5648068	2883	-0.1524
0896cb74-deee-46cd-ac66-19f50e4e9503	12	5648814	8204911	1390	0.0219
0896cb74-deee-46cd-ac66-19f50e4e9503	12	8209454	8220161	9	0.8363
0896cb74-deee-46cd-ac66-19f50e4e9503	12	8241232	9179941	483	-0.0187
0896cb74-deee-46cd-ac66-19f50e4e9503	12	9180011	9481274	144	-0.1038
0896cb74-deee-46cd-ac66-19f50e4e9503	12	9485313	9562969	22	-1.4102
0896cb74-deee-46cd-ac66-19f50e4e9503	12	9575696	33141577	16555	-0.1589
0896cb74-deee-46cd-ac66-19f50e4e9503	12	33141611	33170429	47	0.1446
0896cb74-deee-46cd-ac66-19f50e4e9503	12	33171456	34544311	737	-0.1049
0896cb74-deee-46cd-ac66-19f50e4e9503	12	34544327	69871889	19585	0.013
0896cb74-deee-46cd-ac66-19f50e4e9503	12	69873940	69874087	2	-1.4977
0896cb74-deee-46cd-ac66-19f50e4e9503	12	69874556	99397830	18907	0.011
0896cb74-deee-46cd-ac66-19f50e4e9503	12	99397874	99409340	37	0.3846
0896cb74-deee-46cd-ac66-19f50e4e9503	12	99409355	133201603	22685	0.0176
0896cb74-deee-46cd-ac66-19f50e4e9503	13	18452809	37501828	13475	-0.0001
0896cb74-deee-46cd-ac66-19f50e4e9503	13	37502130	37510620	12	0.6684
0896cb74-deee-46cd-ac66-19f50e4e9503	13	37514193	57184492	12517	0.0169
0896cb74-deee-46cd-ac66-19f50e4e9503	13	57189013	57192687	17	0.4748
0896cb74-deee-46cd-ac66-19f50e4e9503	13	57192705	71902850	8991	0.006
0896cb74-deee-46cd-ac66-19f50e4e9503	13	71903417	71906418	4	-2.5259
0896cb74-deee-46cd-ac66-19f50e4e9503	13	71906467	114342922	29053	0.0052
0896cb74-deee-46cd-ac66-19f50e4e9503	14	18239283	19689684	64	0.1679
0896cb74-deee-46cd-ac66-19f50e4e9503	14	19732024	19945699	95	-0.2315
0896cb74-deee-46cd-ac66-19f50e4e9503	14	19949382	21855405	1265	0.1398
0896cb74-deee-46cd-ac66-19f50e4e9503	14	21856896	21860397	11	-0.7592
0896cb74-deee-46cd-ac66-19f50e4e9503	14	21860829	53581750	19888	0.1582
0896cb74-deee-46cd-ac66-19f50e4e9503	14	53588619	53732064	98	0.4497
0896cb74-deee-46cd-ac66-19f50e4e9503	14	53735601	73526068	12784	0.166
0896cb74-deee-46cd-ac66-19f50e4e9503	14	73529070	73554275	10	0.7519
0896cb74-deee-46cd-ac66-19f50e4e9503	14	73563196	95643248	14712	0.1587
0896cb74-deee-46cd-ac66-19f50e4e9503	14	95644605	95645489	2	-1.5784
0896cb74-deee-46cd-ac66-19f50e4e9503	14	95645742	106321086	6140	0.1566
0896cb74-deee-46cd-ac66-19f50e4e9503	14	106340102	106346129	7	-0.8811
0896cb74-deee-46cd-ac66-19f50e4e9503	14	106360014	106877229	273	0.2212
0896cb74-deee-46cd-ac66-19f50e4e9503	15	19811075	20210984	61	0.0179
0896cb74-deee-46cd-ac66-19f50e4e9503	15	20217125	20373168	26	-0.6858
0896cb74-deee-46cd-ac66-19f50e4e9503	15	20376198	20376311	7	0.1279
0896cb74-deee-46cd-ac66-19f50e4e9503	15	20380735	20538669	39	-0.592
0896cb74-deee-46cd-ac66-19f50e4e9503	15	20614765	21266108	35	-0.1059
0896cb74-deee-46cd-ac66-19f50e4e9503	15	21266481	22395047	39	-0.724
0896cb74-deee-46cd-ac66-19f50e4e9503	15	22413894	31079813	4910	0.0165
0896cb74-deee-46cd-ac66-19f50e4e9503	15	31084493	31089786	2	-2.1007
0896cb74-deee-46cd-ac66-19f50e4e9503	15	31091420	76577588	28759	0.0109
0896cb74-deee-46cd-ac66-19f50e4e9503	15	76586021	76603434	23	0.775
0896cb74-deee-46cd-ac66-19f50e4e9503	15	76609838	101765514	17532	0.0149
0896cb74-deee-46cd-ac66-19f50e4e9503	15	101766307	101766660	3	-1.2488
0896cb74-deee-46cd-ac66-19f50e4e9503	15	101771055	101928837	66	-0.0085
0896cb74-deee-46cd-ac66-19f50e4e9503	16	10777	11535608	8677	0.0171
